kecamatan,nama_kelurahan,latitude,longitude
Kalideres,Kalideres,-6.1431469,106.6925258
Kalideres,Kamal,-6.1043172,106.7060700
Kalideres,Pegadungan,-6.1297830,106.7108902
Kalideres,Semanan,-6.1599209,106.7053791
Kalideres,"Tegal Alur",-6.1174336,106.7195169
Cengkareng,"Cengkareng Barat",-6.1493440,106.7219197
Cengkareng,"Cengkareng Timur",-6.1449900,106.7332144
Cengkareng,"Duri Kosambi",-6.1699150,106.7224054
Cengkareng,Kapuk,-6.1311683,106.7461794
Cengkareng,"Kedaung Kali Angke",-6.1533586,106.7619079
Cengkareng,"Rawa Buaya",-6.1695837,106.7342225
Kembangan,Joglo,-6.2201743,106.7353460
Kembangan,"Kembangan Selatan",-6.1832955,106.7518239
Kembangan,"Kembangan Utara",-6.1790302,106.7352758
Kembangan,"Meruya Selatan",-6.2144146,106.7363371
Kembangan,"Meruya Utara",-6.1961966,106.7476775
Kembangan,Srengseng,-6.2033127,106.7567441
"Kebon Jeruk","Duri Kepa",-6.1849548,106.7732735
"Kebon Jeruk","Kebon Jeruk",-6.1898130,106.7729746
"Kebon Jeruk","Kedoya Selatan",-6.1795656,106.7589857
"Kebon Jeruk","Kedoya Utara",-6.1768364,106.7674220
"Kebon Jeruk","Kelapa Dua",-6.2092482,106.7685702
"Kebon Jeruk","Sukabumi Selatan",-6.2176272,106.7699589
"Kebon Jeruk","Sukabumi Utara",-6.2099945,106.7776103
"Grogol Petamburan",Grogol,-6.1611000,106.7944000
"Grogol Petamburan",Jelambar,-6.1611406,106.7815020
"Grogol Petamburan","Jelambar Baru",-6.1470611,106.7814898
"Grogol Petamburan","Tanjung Duren Selatan",-6.1811908,106.7877744
"Grogol Petamburan","Tanjung Duren Utara",-6.1733092,106.7889735
"Grogol Petamburan",Tomang,-6.1714596,106.8003892
"Grogol Petamburan","Wijaya Kusuma",-6.1533374,106.7725119
"Taman Sari",Glodok,-6.1461310,106.8129959
"Taman Sari",Keagungan,-6.1508067,106.8149686
"Taman Sari",Krukut,-6.1520198,106.8176866
"Taman Sari","Mangga Besar",-6.1472593,106.8191765
"Taman Sari",Maphar,-6.1535107,106.8192082
"Taman Sari",Pinangsia,-6.1379943,106.8195655
"Taman Sari","Taman Sari",-6.1437973,106.8232193
"Taman Sari",Tangki,-6.1467659,106.8225361
Palmerah,Jatipulo,-6.1769774,106.8041679
Palmerah,Kemanggisan,-6.1922277,106.7867741
Palmerah,"Kota Bambu Selatan",-6.1849208,106.8020171
Palmerah,"Kota Bambu Utara",-6.1853217,106.8074056
Palmerah,Palmerah,-6.2016897,106.7872079
Palmerah,Slipi,-6.1935196,106.8019869
Tambora,Angke,-6.1433853,106.8001536
Tambora,"Duri Selatan",-6.1566608,106.8023132
Tambora,"Duri Utara",-6.1547085,106.8018943
Tambora,"Jembatan Besi",-6.1509386,106.7994398
Tambora,"Jembatan Lima",-6.1457980,106.8016466
Tambora,"Kali Anyar",-6.1562722,106.7992973
Tambora,Krendang,-6.1520407,106.8017908
Tambora,Pekojan,-6.1393880,106.8006973
Tambora,"Roa Malaka",-6.1324760,106.8074972
Tambora,Tambora,-6.1465594,106.8085164
Tambora,"Tanah Sereal",-6.1572982,106.8088702
